,precision,recall,f1-score,support
0,0.9602109300095877,0.9588319770224988,0.9595209580838323,2089.0
1,0.949000407996736,0.9785443836769037,0.9635459817729909,2377.0
2,0.9066091954022989,0.9109720885466795,0.9087854056649064,2078.0
3,0.8960187353629977,0.890181479758027,0.8930905695611578,2149.0
4,0.925146771037182,0.9287819253438114,0.9269607843137255,2036.0
5,0.886152162014231,0.8667023554603854,0.876319350473613,1868.0
6,0.9465973534971645,0.9515439429928741,0.9490642027955462,2105.0
7,0.9253871421867668,0.9408396946564885,0.9330494440501538,2096.0
8,0.8956433637284701,0.8679430535100638,0.881575666915981,2037.0
9,0.904096834264432,0.8969976905311778,0.9005332715047532,2165.0
accuracy,0.9204761904761904,0.9204761904761904,0.9204761904761904,0.9204761904761904
macro avg,0.9194862895499867,0.919133859149891,0.9192445635136661,21000.0
weighted avg,0.9201932330783809,0.9204761904761904,0.9202680208831894,21000.0
