,precision,recall,f1-score,support
0,0.9769452449567724,0.9804772234273319,0.9787080476362325,1383.0
1,0.9841068022886205,0.9866156787762906,0.9853596435391471,1569.0
2,0.9581529581529582,0.9786293294030951,0.9682829019321911,1357.0
3,0.9767769176636172,0.9461486025903204,0.961218836565097,1467.0
4,0.9843982169390788,0.972834067547724,0.9785819793205317,1362.0
5,0.9618441971383148,0.9703287890938251,0.9660678642714571,1247.0
6,0.9773049645390071,0.9793887704335466,0.9783457578984737,1407.0
7,0.9661383285302594,0.9703328509406657,0.968231046931408,1382.0
8,0.9650909090909091,0.9650909090909091,0.9650909090909091,1375.0
9,0.9628865979381444,0.9655410062026188,0.9642119752236752,1451.0
accuracy,0.9715714285714285,0.9715714285714285,0.9715714285714285,0.9715714285714285
macro avg,0.9713645137237682,0.9715387227506328,0.9714098962409121,14000.0
weighted avg,0.9716367102170076,0.9715714285714285,0.9715617920435567,14000.0
